Date,Symbol,Open,High,Low,Close
8/7/2019,BTCUSD,11465.5,12135.25,11333.25,11959.25
8/6/2019,BTCUSD,11796.75,12311.5,11207.75,11465.5
8/5/2019,BTCUSD,10983.25,11949.25,10983.25,11796.75
8/4/2019,BTCUSD,10822,11088.25,10575,10983.25
8/3/2019,BTCUSD,10534.25,10922.5,10516,10822
8/2/2019,BTCUSD,10404,10671,10347,10534.25
8/1/2019,BTCUSD,10091,10495.75,9898.5,10404
7/31/2019,BTCUSD,9590,10129.5,9577.75,10091
7/30/2019,BTCUSD,9502,9782,9384,9590
7/29/2019,BTCUSD,9537.5,9717.25,9370.25,9502
7/28/2019,BTCUSD,9474,9651,9120.5,9537.5
7/27/2019,BTCUSD,9851.25,10230.5,9300.5,9474
7/26/2019,BTCUSD,9878.25,9890,9659.75,9851.25
7/25/2019,BTCUSD,9771.5,10185.25,9741.25,9878.25
7/24/2019,BTCUSD,9858.25,10518,9510.25,9771.5
7/23/2019,BTCUSD,10318.25,10324,9804.75,9858.25
7/22/2019,BTCUSD,10587.75,10690.75,10062,10318.25
7/21/2019,BTCUSD,10756,10830,10328.25,10587.75
7/20/2019,BTCUSD,10537.75,11111,10371.75,10756
7/19/2019,BTCUSD,10648.75,10766.25,10114.75,10537.75
7/18/2019,BTCUSD,9710.25,10798.75,9295,10648.75
7/17/2019,BTCUSD,9417.5,9980.25,9083,9710.25
7/16/2019,BTCUSD,10848.5,11027.5,9366,9417.5
7/15/2019,BTCUSD,10199,11081.25,9862.25,10848.5
7/14/2019,BTCUSD,11388.75,11458.75,10096.5,10199
7/13/2019,BTCUSD,11800.5,11840.25,10817,11388.75
7/12/2019,BTCUSD,11358,11938,11095.25,11800.5
7/11/2019,BTCUSD,12116.75,12116.75,10986.25,11358
7/10/2019,BTCUSD,12558.75,13194.5,11520,12116.75
7/9/2019,BTCUSD,12305.5,12823,12125,12558.75
7/8/2019,BTCUSD,11474.25,12393,11345.25,12305.5
7/7/2019,BTCUSD,11208.25,11614,11093.75,11474.25
7/6/2019,BTCUSD,10987.75,11715.25,10987.75,11208.25
7/5/2019,BTCUSD,11150,11448,10768.25,10987.75
7/4/2019,BTCUSD,11980.5,12056.5,11060,11150
7/3/2019,BTCUSD,10824,12020.25,10824,11980.5
7/2/2019,BTCUSD,10554.75,10915,9599.75,10824
7/1/2019,BTCUSD,10739,11204,9957.5,10554.75
6/30/2019,BTCUSD,11861.25,12198,10661.25,10739
6/29/2019,BTCUSD,12361,12368.25,11342.75,11861.25
6/28/2019,BTCUSD,11138.75,12440.25,10740.25,12361
6/27/2019,BTCUSD,12908.25,13345.25,10271,11138.75
6/26/2019,BTCUSD,11762.75,13860.5,11680.5,12908.25
6/25/2019,BTCUSD,11024.5,11782.5,10999.5,11762.75
6/24/2019,BTCUSD,10837.25,11094,10543.25,11024.5
6/23/2019,BTCUSD,10689.25,11245,10500,10837.25
6/22/2019,BTCUSD,10240,11188,10102,10689.25
6/21/2019,BTCUSD,9531.75,10248.75,9531.75,10240
6/20/2019,BTCUSD,9289.25,9599.75,9218.5,9531.75
6/19/2019,BTCUSD,9079.5,9324,9045,9289.25
6/18/2019,BTCUSD,9331.5,9355,8931.5,9079.5
6/17/2019,BTCUSD,8976,9475.5,8976,9331.5
6/16/2019,BTCUSD,8851,9388.75,8801.25,8976
6/15/2019,BTCUSD,8698.75,8904.75,8623.25,8851
6/14/2019,BTCUSD,8233.75,8734.5,8181,8698.75
6/13/2019,BTCUSD,8176.75,8332.75,8047.5,8233.75
6/12/2019,BTCUSD,7919.5,8290,7827,8176.75
6/11/2019,BTCUSD,8017,8062.75,7713.75,7919.5
6/10/2019,BTCUSD,7644.25,8096.25,7526.25,8017
6/9/2019,BTCUSD,7937.25,7963.75,7512,7644.25
6/8/2019,BTCUSD,7995.25,8055,7787,7937.25
6/7/2019,BTCUSD,7801.75,8132.5,7774,7995.25
6/6/2019,BTCUSD,7794.75,7873,7452,7801.75
6/5/2019,BTCUSD,7672.75,7927.75,7579.25,7794.75
